Morphfeat PSC/Lexico,Lexinfo
F,infinitive
FP,feminine
FP,plural
FP1,feminine
FP1,plural
FP1,firstPerson
FP2,feminine
FP2,plural
FP2,secondPerson
FP3,feminine
FP3,plural
FP3,thirdPerson
FP_PP,feminine
FP_PP,plural
FP_PP,participle
FP_PP,present
FP_PR,feminine
FP_PR,plural
FP_PR,participle
FP_PR,past
FS,feminine
FS,singular
FS1,feminine
FS1,singular
FS1,firstPerson
FS2,feminine
FS2,singular
FS2,secondPerson
FS3,feminine
FS3,singular
FS3,thirdPerson
FS_PP,feminine
FS_PP,singular
FS_PP,participle
FS_PP,present
FS_PR,feminine
FS_PR,singular
FS_PR,participle
FS_PR,past
G,gerundive
MP,masculine
MP,plural
MP1,masculine
MP1,plural
MP1,firstPerson
MP2,masculine
MP2,plural
MP2,secondPerson
MP3,masculine
MP3,plural
MP3,thirdPerson
MP_PP,masculine
MP_PP,plural
MP_PP,participle
MP_PP,present
MP_PR,masculine
MP_PR,plural
MP_PR,participle
MP_PR,past
MS,masculine
MS,singular
MS1,masculine
MS1,singular
MS1,firstPerson
MS2,masculine
MS2,singular
MS2,secondPerson
MS3,masculine
MS3,singular
MS3,thirdPerson
MS_PP,masculine
MS_PP,singular
MS_PP,participle
MS_PP,present
MS_PR,masculine
MS_PR,singular
MS_PR,participle
MS_PR,past
P1CI,plural
P1CI,firstPerson
P1CI,subjunctive
P1CI,imperfect
P1CP,plural
P1CP,firstPerson
P1CP,subjunctive
P1CP,present
P1DP,plural
P1DP,firstPerson
P1DP,conditional
P1DP,present
P1IF,plural
P1IF,firstPerson
P1IF,indicative
P1IF,future
P1II,plural
P1II,firstPerson
P1II,indicative
P1II,imperfect
P1IP,plural
P1IP,firstPerson
P1IP,indicative
P1IP,present
P1IR,plural
P1IR,firstPerson
P1IR,indicative
P1IR,past
P2CI,plural
P2CI,secondPerson
P2CI,subjunctive
P2CI,imperfect
P2CP,plural
P2CP,secondPerson
P2CP,subjunctive
P2CP,present
P2DP,plural
P2DP,secondPerson
P2DP,conditional
P2DP,present
P2IF,plural
P2IF,secondPerson
P2IF,indicative
P2IF,future
P2II,plural
P2II,secondPerson
P2II,indicative
P2II,imperfect
P2IP,plural
P2IP,secondPerson
P2IP,indicative
P2IP,present
P2IR,plural
P2IR,secondPerson
P2IR,indicative
P2IR,past
P2MP,plural
P2MP,secondPerson
P2MP,imperative
P2MP,present
P3CI,plural
P3CI,thirdPerson
P3CI,subjunctive
P3CI,imperfect
P3CP,plural
P3CP,thirdPerson
P3CP,subjunctive
P3CP,present
P3DP,plural
P3DP,thirdPerson
P3DP,conditional
P3DP,present
P3IF,plural
P3IF,thirdPerson
P3IF,indicative
P3IF,future
P3II,plural
P3II,thirdPerson
P3II,indicative
P3II,imperfect
P3IP,plural
P3IP,thirdPerson
P3IP,indicative
P3IP,present
P3IR,plural
P3IR,thirdPerson
P3IR,indicative
P3IR,past
S1CI,singular
S1CI,firstPerson
S1CI,subjunctive
S1CI,imperfect
S1CP,singular
S1CP,firstPerson
S1CP,subjunctive
S1CP,present
S1DP,singular
S1DP,firstPerson
S1DP,conditional
S1DP,present
S1IF,singular
S1IF,firstPerson
S1IF,indicative
S1IF,future
S1II,singular
S1II,firstPerson
S1II,indicative
S1II,imperfect
S1IP,singular
S1IP,firstPerson
S1IP,indicative
S1IP,present
S1IR,singular
S1IR,firstPerson
S1IR,indicative
S1IR,past
S2CI,singular
S2CI,secondPerson
S2CI,subjunctive
S2CI,imperfect
S2CP,singular
S2CP,secondPerson
S2CP,subjunctive
S2CP,present
S2DP,singular
S2DP,secondPerson
S2DP,conditional
S2DP,present
S2IF,singular
S2IF,secondPerson
S2IF,indicative
S2IF,future
S2II,singular
S2II,secondPerson
S2II,indicative
S2II,imperfect
S2IP,singular
S2IP,secondPerson
S2IP,indicative
S2IP,present
S2IR,singular
S2IR,secondPerson
S2IR,indicative
S2IR,past
S2MP,singular
S2MP,secondPerson
S2MP,imperative
S2MP,present
S3CI,singular
S3CI,thirdPerson
S3CI,subjunctive
S3CI,imperfect
S3CP,singular
S3CP,thirdPerson
S3CP,subjunctive
S3CP,present
S3DP,singular
S3DP,thirdPerson
S3DP,conditional
S3DP,present
S3IF,singular
S3IF,thirdPerson
S3IF,indicative
S3IF,future
S3II,singular
S3II,thirdPerson
S3II,indicative
S3II,imperfect
S3IP,singular
S3IP,thirdPerson
S3IP,indicative
S3IP,present
S3IR,singular
S3IR,thirdPerson
S3IR,indicative
S3IR,past