Lexico/PSC,Lexinfo Pos
pos,partOfSpeech
A,adjective
ADV,adverb
CNJ,conjunction
DET,determiner
DETDIM,demonstrativeDeterminer
DETESCL,exclamativeDeterminer
DETINDEF,indefiniteDeterminer
DETINT,interrogativeDeterminer
DETNUM,numeralDeterminer
DETPOS,possessiveDeterminer
DETREL,relativeDeterminer
NUM,numeral
I,interjection
N,noun
NP,properNoun
PRON,pronoun
PRONPERS,personalPronoun
PRONDIM,demonstrativePronoun
PRONESCL,exclamativePronoun
PRONINDEF,indefinitePronoun
PRONINT,interrogativePronoun
PRONNUM,numeralPronoun
PRONPOS,possessivePronoun
PRONREL,relativePronoun
PRP,preposition
V,verb
VAUX,auxiliary
PRP,particle
UNKNOW,X