UD,Rel,Lexinfo
,,
PronType,,
Art,partOfSpeech,article
,,
NumType,,
Card,partOfSpeech,cardinalNumeral
,,
Ord,partOfSpeech,indefiniteOrdinalNumeral
,,
,,
,,
Gender,gender,gender
Masc,,masculine
Fem,,feminine
,,
Number,number,number
Sing,,singular
Plur,,plural
,,
Tense,tense,tense
Pres,,present
Past,,past
Fut,,future
Imp,,imperfect
Mood,mood,mood
Ind,,indicative
Sub,,subjunctive
Cnd,,conditional
Imp,,imperative
,,
Fin,finitess,finite
Part,,participle
Ger,,gerundive
Inf,,infinitive
,,
Person,person,person
1,,firstPerson
2,,secondPerson
3,,thirdPerson
,,
Degree,degree,degree
Abs,,superlative
Pos,,positive
Cmp,,comparative
Sup,,superlative
Clitic,cliticness,yes
,,
Definitive,definitess,definite
Ind,definitess,indefinite
PronType,,
Dem,partOfSpeech,demonstrative+pos
Exc,partOfSpeech,exclamative+pos
,,
PronType,,
Int,partOfSpeech,interrogative+pos
Tot,number,collective
Rel,partOfSpeech,relative+pos
,,
Polarity,,Negative
Neg,,yes
Pos,,no
,,
Poss=yes,partOfSpeech,possessive+pos